recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score,calculated_calories.quantity,calculated_protein,calculated_fat,calculated_saturated_fatty_acids,calculated_carbohydrate,calculated_sugar_total,calculated_dietary_fibre,calculated_sodium_(na),calculated_calcium_(ca),calculated_iron_(fe),calculated_zinc_(zn),calculated_selenium_(se),calculated_iodine_(i),calculated_potassium_(k),calculated_magnesium_(mg),calculated_vitamin_a_(rae),calculated_vitamin_b1_(thiamin),calculated_vitamin_b2_(riboflavin),calculated_vitamin_b9_(folate),calculated_vitamin_b12_(cobalamin),calculated_vitamin_c_(askorbic_acid),calculated_vitamin_d,calculated_vitamin_e,total_recipe_weight_g,match_coverage,matched_grams,no_match_grams,considered_grams,ignored_grams,calculated_fsa_fat_score,calculated_fsa_sat_fat_score,calculated_fsa_sugar_score,calculated_fsa_salt_score,calculated_fsa_score,calculated_fsa_category,claimed_calc_fsa_fat_score,claimed_calc_fsa_sat_fat_score,claimed_calc_fsa_sugar_score,claimed_calc_fsa_salt_score,claimed_calc_fsa_score,claimed_calc_fsa_category,calculated_who_score,calculated_who_protein,calculated_who_fat,calculated_who_sat_fat,calculated_who_carbs,calculated_who_sugar,calculated_who_salt,calculated_who_fibre,claimed_calc_who_score,claimed_calc_who_protein,claimed_calc_who_fat,claimed_calc_who_sat_fat,claimed_calc_who_carbs,claimed_calc_who_sugar,claimed_calc_who_salt,claimed_calc_who_fibre
gemini_flash_lite_breakfast_1,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 whole Wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, lean"", ""5 g Fresh dill, chopped"", ""0.5 dl Rocket salad"", ""0.25 piece Lemon, raw""]","Toast the whole wheat bagel until golden brown and slightly crisp. While the bagel is toasting, gently spread the light cream cheese evenly over both halves of the toasted bagel. Arrange the smoked salmon slices over the cream cheese on the bottom half of the bagel. Sprinkle the chopped fresh dill over the salmon. Top with a handful of fresh rocket salad. Squeeze a small amount of fresh lemon juice over the filling. Place the top half of the bagel on top to complete your sandwich.",1,380,25.0,15.0,35.0,5.0,3.0,5.0,1.8,120.0,2.1,40.0,250.0,300.0,1.5,30.0,25.0,150.0,2.0,1.2,15.0,60.0,3.0,0.3,0.2,2.0,0.2,7,healthy,5,204.405,13.891000000000002,15.660499999999999,6.454999999999999,1.5935000000000001,1.5935000000000001,0.7550000000000001,692.925,52.285000000000004,0.647,0.5365,16.05,6.5385,312.34000000000003,21.37,119.24000000000001,0.17815000000000003,0.13815000000000002,19.315,2.36,14.265,3.78,1.8679999999999999,110.5,1.0,110.5,0.0,110.5,0.0,2,3,1,3,9,moderate,2,2,1,3,8,moderate,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
gemini_flash_lite_breakfast_2,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 piece Whole wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, thinly sliced"", ""5 g Capers, drained"", ""5 g Red onion, finely chopped"", ""1 g Black pepper, ground""]","Toast the whole wheat bagel until golden brown and slightly crisp. While the bagel is toasting, spread the light cream cheese evenly over both halves of the toasted bagel. Layer the thinly sliced smoked salmon on top of the cream cheese. Sprinkle the drained capers and finely chopped red onion over the salmon. Finish with a grind of fresh black pepper. Close the bagel and serve immediately.",1,350,25.0,18.0,22.0,6.0,3.0,4.0,1.5,80.0,1.2,40.0,200.0,250.0,1.0,15.0,20.0,150.0,1.0,0.5,5.0,30.0,5.0,0.2,0.3,3.0,0.2,7,healthy,5,316.75,17.520000000000003,18.985,7.779999999999999,18.09,1.6900000000000002,1.95,1023.8,62.550000000000004,0.885,0.9149999999999999,17.55,7.8500000000000005,315.85,37.75,107.14999999999999,0.2575,0.1595,25.75,2.4,0.7500000000000001,4.06,2.08,131.0,1.0,130.0,0.0,130.0,1.0,2,3,1,3,9,moderate,2,2,1,2,7,moderate,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
gemini_flash_lite_breakfast_3,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 whole Wheat Bagel"", ""50 g Smoked salmon, raw"", ""50 g Avocado, ripe"", ""30 g Cream cheese, light"", ""10 g Red onion, raw"", ""1 dl Spinach, raw"", ""0.5 piece Lemon""]","Slice the whole wheat bagel in half horizontally and toast it lightly. While the bagel is toasting, mash the ripe avocado in a small bowl with a fork. Squeeze in a little bit of fresh lemon juice to prevent browning and add flavour. Finely chop the red onion. Spread the light cream cheese evenly over the bottom half of the toasted bagel. Layer the fresh spinach leaves on top of the cream cheese. Arrange the slices of smoked salmon over the spinach. Spoon the mashed avocado over the salmon. Sprinkle the chopped red onion on top of the avocado. Place the top half of the toasted bagel on top to complete. Slice in half if desired.",1,450,25.0,22.0,40.0,6.0,5.0,8.0,1.5,150.0,2.0,60.0,200.0,500.0,1.2,10.0,20.0,70.0,1.0,3.0,10.0,80.0,5.0,,0.3,2.0,0.2,8,healthy,5,306.14,13.616,26.107999999999997,8.262,2.486,2.486,3.34,119.79999999999998,61.66,0.9420000000000001,0.878,10.4,5.160000000000001,699.6,44.2,145.86,0.1462,0.19040000000000004,55.13999999999999,2.71,26.44,3.53,2.3280000000000003,192.0,1.0,192.0,0.0,192.0,0.0,3,3,1,1,8,moderate,3,2,1,2,8,moderate,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
gemini_flash_lite_breakfast_4,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 piece Whole wheat bagel, 100g"", ""50 g Smoked salmon, thinly sliced"", ""0.5 piece Avocado, ripe, 60g"", ""30 g Cream cheese, light"", ""5 g Fresh dill, chopped"", ""1 slice Red onion, thinly sliced"", ""0.5 tsp Lemon juice""]","Toast the whole wheat bagel until lightly golden brown. While the bagel is toasting, mash the avocado in a small bowl with the lemon juice. Spread the light cream cheese evenly on the bottom half of the toasted bagel. Layer the smoked salmon over the cream cheese. Spoon the mashed avocado on top of the salmon. Arrange the thinly sliced red onion over the avocado. Sprinkle with fresh chopped dill. Place the top half of the bagel on top.",1,450,25.0,25.0,30.0,6.0,4.0,8.0,1.5,120.0,2.0,70.0,200.0,400.0,1.5,10.0,15.0,50.0,0.5,3.0,10.0,80.0,5.0,0.3,0.2,2.0,0.2,7,healthy,5,376.0,18.1425,24.875,8.795,18.563000000000002,2.1630000000000003,2.8825,888.845,76.905,1.2315,1.174,17.674999999999997,8.092499999999998,528.0500000000001,45.975,132.975,0.29435,0.20345,40.62500000000001,2.4,5.3100000000000005,4.0600000000000005,2.7845,164.5,1.0,164.5,0.0,164.5,0.0,3,3,1,3,10,unhealthy,3,2,1,2,8,moderate,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
gemini_flash_lite_breakfast_5,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 whole wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, pre-sliced"", ""10 g Red onion, thinly sliced"", ""5 g Fresh dill, chopped"", ""1/4 piece Lemon, juice""]",Slice the whole wheat bagel in half horizontally and toast until golden brown. Spread 30g of light cream cheese evenly over the bottom half of the toasted bagel. Arrange 50g of smoked salmon slices on top of the cream cheese. Scatter 10g of thinly sliced red onion over the salmon. Sprinkle 5g of fresh chopped dill. Drizzle with a small amount of lemon juice from a quarter lemon. Place the top half of the bagel on top to complete.,1,400,25.0,15.0,40.0,5.0,5.0,5.0,1.5,100.0,2.0,50.0,200.0,300.0,1.0,15.0,20.0,50.0,2.0,1.0,5.0,30.0,5.0,0.2,0.3,2.0,0.15,7,healthy,5,203.8,13.765,15.594999999999999,6.454999999999999,1.8150000000000002,1.8150000000000002,0.52,692.5500000000001,47.8,0.545,0.52,16.25,6.3999999999999995,310.65000000000003,21.4,115.15,0.17750000000000002,0.1455,20.900000000000002,2.36,11.0,3.78,1.825,115.0,1.0,115.0,0.0,115.0,0.0,2,3,1,3,9,moderate,2,2,1,2,7,moderate,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
gemini_flash_lite_breakfast_6,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Oat Bread,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""100 g Ripe bananas, mashed"", ""80 g Maple syrup"", ""60 ml Unsweetened almond milk"", ""50 g Greek yogurt, 0% fat"", ""40 g Walnuts, chopped"", ""30 ml Coconut oil, melted"", ""10 g Baking powder"", ""5 g Vanilla extract"", ""2 g Cinnamon, ground"", ""1 g Salt""]","Preheat your oven to 180°C (350°F) and lightly grease a standard loaf pan or line it with parchment paper. In a large bowl, whisk together the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. In a separate medium bowl, mash the ripe bananas until smooth, then whisk in the maple syrup, almond milk, Greek yogurt, melted coconut oil, and vanilla extract until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined; be careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and spread evenly. Bake for 40-50 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely before slicing.",10,2500,50.0,90.0,350.0,25.0,150.0,35.0,5.0,300.0,8.0,200.0,500.0,1200.0,3.0,5.0,15.0,5.0,1.0,5.0,5.0,50.0,0.0,,,,,7,moderate,5,2069.48,54.480000000000004,65.471,27.973000000000003,293.264,69.41600000000001,52.019999999999996,458.6,318.3,14.368,10.440000000000001,16.9,8.06,1894.7,492.40000000000003,23.5,1.9988,1.526,188.94,0.2,9.1,0.0,3.3099999999999996,725.0,1.0,707.0,0.0,707.0,18.0,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,5,1,1,0,1,0,1,1,3,0,0,1,1,0,0,1
gemini_flash_lite_breakfast_7,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts and Cinnamon,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""1.5 tsp Baking soda"", ""1 tsp Ground cinnamon"", ""0.5 tsp Ground nutmeg"", ""0.25 tsp Salt"", ""3 large Ripe bananas, mashed"", ""100 g Unsweetened applesauce"", ""80 ml Maple syrup"", ""60 ml Coconut oil, melted"", ""2 tsp Vanilla extract"", ""2 large Eggs, raw"", ""100 g Walnuts, chopped""]","Preheat your oven to 175 degrees C (350 degrees F) and grease and flour a standard loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, baking soda, cinnamon, nutmeg, and salt. In a separate medium bowl, combine the mashed bananas, unsweetened applesauce, maple syrup, melted coconut oil, and vanilla extract. Stir in the eggs until well combined. Add the wet ingredients to the dry ingredients and mix until just combined, being careful not to overmix. Fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 55-65 minutes, or until a toothpick inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,3500,70.0,150.0,500.0,45.0,200.0,50.0,4.0,200.0,8.0,300.0,800.0,2000.0,5.0,10.0,20.0,5.0,2.0,15.0,10.0,100.0,1.0,1.0,0.5,5.0,1.0,6,healthy,5,3193.1600000000003,77.474,142.70999999999998,56.803200000000004,382.76959999999997,125.58840000000001,64.66,874.1800000000001,414.78000000000003,18.949199999999998,13.614,54.60000000000001,41.800000000000004,3267.8,652.92,227.30000000000004,2.31652,2.6192000000000006,372.9,1.6500000000000001,50.22,4.4,11.36,1212.5,1.0,1186.0,0.0,1186.0,26.5,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,2,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1
gemini_flash_lite_breakfast_8,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Oat Bread,"[""200 g Banana, ripe, mashed"", ""150 g Whole wheat flour"", ""50 g Rolled oats"", ""60 g Honey"", ""60 ml Olive oil"", ""2 large Eggs, raw"", ""1 tsp Baking soda"", ""1 tsp Cinnamon, ground"", ""1/2 tsp Nutmeg, ground"", ""1/4 tsp Salt""]","Preheat your oven to 175 degrees C (350 degrees F). Grease and flour a standard loaf pan or line it with parchment paper. In a large bowl, combine the mashed ripe bananas, honey, olive oil, and eggs. Mix until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking soda, cinnamon, nutmeg, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined. Do not overmix. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,2500,45.0,100.0,350.0,15.0,150.0,30.0,4.0,200.0,5.0,150.0,400.0,1500.0,3.0,20.0,25.0,50.0,5.0,10.0,10.0,100.0,2.0,1.0,0.5,5.0,0.5,5,healthy,5,1690.98,42.338,70.76,11.64,206.32000000000002,80.07000000000001,30.5,862.4,144.8,10.02,6.4799999999999995,42.7,42.1,1528.2,290.4,222.50000000000003,1.2019999999999997,0.643,204.1,1.6500000000000001,22.6,4.4,17.776000000000003,638.75,1.0,624.0,0.0,624.0,14.75,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0
gemini_flash_lite_breakfast_9,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""100 g Brown sugar, light"", ""10 g Baking powder"", ""5 g Ground cinnamon"", ""2 g Salt"", ""3 pieces Banana, ripe, mashed"", ""100 ml Vegetable oil"", ""2 pieces Egg, large, raw"", ""50 g Walnuts, chopped""]","Preheat your oven to 180°C (350°F). Grease and flour a 23x13 cm (9x5 inch) loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, brown sugar, baking powder, cinnamon, and salt. In a separate bowl, mash the ripe bananas until smooth. Add the vegetable oil and beaten eggs to the mashed bananas and whisk until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined, being careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",12,2500,50.0,120.0,300.0,15.0,150.0,30.0,5.0,300.0,5.0,150.0,400.0,1500.0,3.0,10.0,20.0,50.0,5.0,10.0,10.0,50.0,0.5,0.5,0.5,5.0,0.5,7,moderate,4,3196.2,70.44,144.27,13.81,376.2,153.87000000000003,57.2,1015.5,436.9,17.959999999999997,11.63,50.2,41.800000000000004,3000.8,592.0,228.90000000000003,2.136,0.88,375.20000000000005,1.6500000000000001,40.1,4.4,37.06,1077.0,1.0,1060.0,0.0,1060.0,17.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
gemini_flash_lite_breakfast_10,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts and Cinnamon,"[""250 g Whole wheat flour"", ""100 g Rolled oats, whole"", ""10 g Baking powder"", ""5 g Ground cinnamon"", ""2 g Ground nutmeg"", ""3 pieces Banana, ripe, mashed"", ""100 g Honey"", ""60 ml Coconut oil, melted"", ""2 pieces Egg, raw, large"", ""1 dl Milk, unsweetened almond"", ""100 g Walnuts, chopped""]","Preheat your oven to 175 degrees Celsius (350 degrees Fahrenheit) and lightly grease a standard loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, baking powder, cinnamon, and nutmeg. In a separate bowl, mash the ripe bananas until smooth, then stir in the honey, melted coconut oil, eggs, and almond milk until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined; do not overmix. Fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,3500,65.0,150.0,500.0,30.0,250.0,40.0,8.0,300.0,8.0,350.0,800.0,2500.0,5.0,5.0,15.0,20.0,1.0,15.0,15.0,100.0,0.2,1.5,0.8,10.0,1.2,6,healthy,5,3172.16,78.00999999999999,143.002,56.812000000000005,363.81,140.88000000000002,60.900000000000006,236.5,483.9,19.39,13.240000000000002,50.800000000000004,42.300000000000004,2989.8,637.0,228.90000000000003,2.261,0.99,439.70000000000005,1.6500000000000001,41.6,5.4,18.369999999999997,1191.0,1.0,1174.0,0.0,1174.0,17.0,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,2,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0
