recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,1 whole Wheat bagel,Wheat bagel,1.0,whole,,False,167533.0,"Bagels, wheat",2
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"30 g Cream cheese, light","Cream cheese, light",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"50 g Smoked salmon, lean","Smoked salmon, lean",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"5 g Fresh dill, chopped","Fresh dill, chopped",5.0,g,5.0,False,6.12,"Dill, raw",2
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,0.5 dl Rocket salad,Rocket salad,0.5,dl,5.5,False,6.058,"Lettuce leaves, Norwegian, raw",2
gemini_flash_lite_breakfast_1,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"0.25 piece Lemon, raw","Lemon, raw",0.25,piece,20.0,False,6.55,"Lemon, raw",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,1 piece Whole wheat bagel,Whole wheat bagel,1.0,piece,40.0,False,5.454,"Bagels, home-made",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"30 g Cream cheese, light","Cream cheese, light",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"50 g Smoked salmon, thinly sliced","Smoked salmon, thinly sliced",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"5 g Capers, drained","Capers, drained",5.0,g,5.0,False,6.129,"Capers, canned",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"5 g Red onion, finely chopped","Red onion, finely chopped",5.0,g,5.0,False,6.042,"Onion, Norwegian, raw",2
gemini_flash_lite_breakfast_2,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"1 g Black pepper, ground","Black pepper, ground",1.0,g,1.0,True,,,-1
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,1 whole Wheat Bagel,Wheat Bagel,1.0,whole,,False,167533.0,"Bagels, wheat",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"50 g Smoked salmon, raw","Smoked salmon, raw",50.0,g,50.0,False,4.22,"Salmon, farmed, raw",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"50 g Avocado, ripe","Avocado, ripe",50.0,g,50.0,False,6.524,"Avocado, raw",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"30 g Cream cheese, light","Cream cheese, light",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"10 g Red onion, raw","Red onion, raw",10.0,g,10.0,False,6.042,"Onion, Norwegian, raw",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"1 dl Spinach, raw","Spinach, raw",1.0,dl,12.0,False,6.064,"Spinach, raw",2
gemini_flash_lite_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,0.5 piece Lemon,Lemon,0.5,piece,40.0,False,6.55,"Lemon, raw",2
gemini_flash_lite_breakfast_4,Smoked Salmon and Avocado Whole Wheat Bagel,"1 piece Whole wheat bagel, 100g","Whole wheat bagel, 100g",1.0,piece,40.0,False,5.454,"Bagels, home-made",2
gemini_flash_lite_breakfast_4,Smoked Salmon and Avocado Whole Wheat Bagel,"50 g Smoked salmon, thinly sliced","Smoked salmon, thinly sliced",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_lite_breakfast_4,Smoked Salmon and Avocado Whole Wheat Bagel,"0.5 piece Avocado, ripe, 60g","Avocado, ripe, 60g",0.5,piece,30.0,False,6.524,"Avocado, raw",2
gemini_flash_lite_breakfast_4,Smoked Salmon and Avocado Whole Wheat Bagel,"30 g Cream cheese, light","Cream cheese, light",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_lite_breakfast_4,Smoked Salmon and Avocado Whole Wheat Bagel,"5 g Fresh dill, chopped","Fresh dill, chopped",5.0,g,5.0,False,6.12,"Dill, raw",2
