recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
gemini_flash_lite_breakfast_1,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 whole Wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, lean"", ""5 g Fresh dill, chopped"", ""0.5 dl Rocket salad"", ""0.25 piece Lemon, raw""]","Toast the whole wheat bagel until golden brown and slightly crisp. While the bagel is toasting, gently spread the light cream cheese evenly over both halves of the toasted bagel. Arrange the smoked salmon slices over the cream cheese on the bottom half of the bagel. Sprinkle the chopped fresh dill over the salmon. Top with a handful of fresh rocket salad. Squeeze a small amount of fresh lemon juice over the filling. Place the top half of the bagel on top to complete your sandwich.",1,380,25,15,35,5,3,5,1.8,120,2.1,40,250,300,1.5,30,25,150,2,1.2,15,60,3,0.3,0.2,2,0.2,7,healthy,5
gemini_flash_lite_breakfast_2,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 piece Whole wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, thinly sliced"", ""5 g Capers, drained"", ""5 g Red onion, finely chopped"", ""1 g Black pepper, ground""]","Toast the whole wheat bagel until golden brown and slightly crisp. While the bagel is toasting, spread the light cream cheese evenly over both halves of the toasted bagel. Layer the thinly sliced smoked salmon on top of the cream cheese. Sprinkle the drained capers and finely chopped red onion over the salmon. Finish with a grind of fresh black pepper. Close the bagel and serve immediately.",1,350,25,18,22,6,3,4,1.5,80,1.2,40,200,250,1.0,15,20,150,1.0,0.5,5,30,5,0.2,0.3,3,0.2,7,healthy,5
gemini_flash_lite_breakfast_3,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 whole Wheat Bagel"", ""50 g Smoked salmon, raw"", ""50 g Avocado, ripe"", ""30 g Cream cheese, light"", ""10 g Red onion, raw"", ""1 dl Spinach, raw"", ""0.5 piece Lemon""]","Slice the whole wheat bagel in half horizontally and toast it lightly. While the bagel is toasting, mash the ripe avocado in a small bowl with a fork. Squeeze in a little bit of fresh lemon juice to prevent browning and add flavour. Finely chop the red onion. Spread the light cream cheese evenly over the bottom half of the toasted bagel. Layer the fresh spinach leaves on top of the cream cheese. Arrange the slices of smoked salmon over the spinach. Spoon the mashed avocado over the salmon. Sprinkle the chopped red onion on top of the avocado. Place the top half of the toasted bagel on top to complete. Slice in half if desired.",1,450,25,22,40,6,5,8,1.5,150,2,60,200,500,1.2,10,20,70,1,3,10,80,5,,0.3,2,0.2,8,healthy,5
gemini_flash_lite_breakfast_4,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 piece Whole wheat bagel, 100g"", ""50 g Smoked salmon, thinly sliced"", ""0.5 piece Avocado, ripe, 60g"", ""30 g Cream cheese, light"", ""5 g Fresh dill, chopped"", ""1 slice Red onion, thinly sliced"", ""0.5 tsp Lemon juice""]","Toast the whole wheat bagel until lightly golden brown. While the bagel is toasting, mash the avocado in a small bowl with the lemon juice. Spread the light cream cheese evenly on the bottom half of the toasted bagel. Layer the smoked salmon over the cream cheese. Spoon the mashed avocado on top of the salmon. Arrange the thinly sliced red onion over the avocado. Sprinkle with fresh chopped dill. Place the top half of the bagel on top.",1,450,25,25,30,6,4,8,1.5,120,2,70,200,400,1.5,10,15,50,0.5,3,10,80,5,0.3,0.2,2,0.2,7,healthy,5
gemini_flash_lite_breakfast_5,gemini_flash_lite,breakfast,Bagels,Smoked Salmon and Cream Cheese Whole Wheat Bagel,"[""1 whole wheat bagel"", ""30 g Cream cheese, light"", ""50 g Smoked salmon, pre-sliced"", ""10 g Red onion, thinly sliced"", ""5 g Fresh dill, chopped"", ""1/4 piece Lemon, juice""]",Slice the whole wheat bagel in half horizontally and toast until golden brown. Spread 30g of light cream cheese evenly over the bottom half of the toasted bagel. Arrange 50g of smoked salmon slices on top of the cream cheese. Scatter 10g of thinly sliced red onion over the salmon. Sprinkle 5g of fresh chopped dill. Drizzle with a small amount of lemon juice from a quarter lemon. Place the top half of the bagel on top to complete.,1,400,25,15,40,5,5,5,1.5,100,2,50,200,300,1,15,20,50,2,1,5,30,5,0.2,0.3,2,0.15,7,healthy,5
gemini_flash_lite_breakfast_6,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Oat Bread,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""100 g Ripe bananas, mashed"", ""80 g Maple syrup"", ""60 ml Unsweetened almond milk"", ""50 g Greek yogurt, 0% fat"", ""40 g Walnuts, chopped"", ""30 ml Coconut oil, melted"", ""10 g Baking powder"", ""5 g Vanilla extract"", ""2 g Cinnamon, ground"", ""1 g Salt""]","Preheat your oven to 180°C (350°F) and lightly grease a standard loaf pan or line it with parchment paper. In a large bowl, whisk together the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. In a separate medium bowl, mash the ripe bananas until smooth, then whisk in the maple syrup, almond milk, Greek yogurt, melted coconut oil, and vanilla extract until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined; be careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and spread evenly. Bake for 40-50 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely before slicing.",10,2500,50,90,350,25,150,35,5,300,8,200,500,1200,3,5,15,5,1,5,5,50,0,,,,,7,moderate,5
gemini_flash_lite_breakfast_7,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts and Cinnamon,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""1.5 tsp Baking soda"", ""1 tsp Ground cinnamon"", ""0.5 tsp Ground nutmeg"", ""0.25 tsp Salt"", ""3 large Ripe bananas, mashed"", ""100 g Unsweetened applesauce"", ""80 ml Maple syrup"", ""60 ml Coconut oil, melted"", ""2 tsp Vanilla extract"", ""2 large Eggs, raw"", ""100 g Walnuts, chopped""]","Preheat your oven to 175 degrees C (350 degrees F) and grease and flour a standard loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, baking soda, cinnamon, nutmeg, and salt. In a separate medium bowl, combine the mashed bananas, unsweetened applesauce, maple syrup, melted coconut oil, and vanilla extract. Stir in the eggs until well combined. Add the wet ingredients to the dry ingredients and mix until just combined, being careful not to overmix. Fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 55-65 minutes, or until a toothpick inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,3500,70,150,500,45,200,50,4,200,8,300,800,2000,5,10,20,5,2,15,10,100,1,1,0.5,5,1,6,healthy,5
gemini_flash_lite_breakfast_8,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Oat Bread,"[""200 g Banana, ripe, mashed"", ""150 g Whole wheat flour"", ""50 g Rolled oats"", ""60 g Honey"", ""60 ml Olive oil"", ""2 large Eggs, raw"", ""1 tsp Baking soda"", ""1 tsp Cinnamon, ground"", ""1/2 tsp Nutmeg, ground"", ""1/4 tsp Salt""]","Preheat your oven to 175 degrees C (350 degrees F). Grease and flour a standard loaf pan or line it with parchment paper. In a large bowl, combine the mashed ripe bananas, honey, olive oil, and eggs. Mix until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking soda, cinnamon, nutmeg, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined. Do not overmix. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,2500,45,100,350,15,150,30,4,200,5,150,400,1500,3,20,25,50,5,10,10,100,2,1,0.5,5,0.5,5,healthy,5
gemini_flash_lite_breakfast_9,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts,"[""250 g Whole wheat flour"", ""100 g Rolled oats"", ""100 g Brown sugar, light"", ""10 g Baking powder"", ""5 g Ground cinnamon"", ""2 g Salt"", ""3 pieces Banana, ripe, mashed"", ""100 ml Vegetable oil"", ""2 pieces Egg, large, raw"", ""50 g Walnuts, chopped""]","Preheat your oven to 180°C (350°F). Grease and flour a 23x13 cm (9x5 inch) loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, brown sugar, baking powder, cinnamon, and salt. In a separate bowl, mash the ripe bananas until smooth. Add the vegetable oil and beaten eggs to the mashed bananas and whisk until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined, being careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",12,2500,50,120,300,15,150,30,5,300,5,150,400,1500,3,10,20,50,5,10,10,50,0.5,0.5,0.5,5,0.5,7,moderate,4
gemini_flash_lite_breakfast_10,gemini_flash_lite,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts and Cinnamon,"[""250 g Whole wheat flour"", ""100 g Rolled oats, whole"", ""10 g Baking powder"", ""5 g Ground cinnamon"", ""2 g Ground nutmeg"", ""3 pieces Banana, ripe, mashed"", ""100 g Honey"", ""60 ml Coconut oil, melted"", ""2 pieces Egg, raw, large"", ""1 dl Milk, unsweetened almond"", ""100 g Walnuts, chopped""]","Preheat your oven to 175 degrees Celsius (350 degrees Fahrenheit) and lightly grease a standard loaf pan. In a large bowl, whisk together the whole wheat flour, rolled oats, baking powder, cinnamon, and nutmeg. In a separate bowl, mash the ripe bananas until smooth, then stir in the honey, melted coconut oil, eggs, and almond milk until well combined. Pour the wet ingredients into the dry ingredients and mix until just combined; do not overmix. Fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,3500,65,150,500,30,250,40,8,300,8,350,800,2500,5,5,15,20,1,15,15,100,0.2,1.5,0.8,10,1.2,6,healthy,5
