recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
gemini_flash_breakfast_1,gemini_flash,breakfast,Bagels,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light, plain"", ""50 g Salmon, smoked"", ""50 g Avocado, raw"", ""30 g Cucumber, fresh"", ""5 g Dill, fresh, chopped"", ""5 ml Lemon juice, fresh"", ""1 g Pepper, black, ground""]","Begin by toasting the whole wheat bagel to your desired crispness. While the bagel is toasting, thinly slice the cucumber and avocado. Once the bagel is ready, spread the light cream cheese evenly over both halves. Layer the smoked salmon over the cream cheese on the bottom half of the bagel. Arrange the sliced avocado and cucumber on top of the salmon. Sprinkle the fresh chopped dill over the ingredients. Drizzle with fresh lemon juice and season with a pinch of black pepper. Place the top half of the bagel on to complete your healthy breakfast.",1,405,23.2,14.5,47.0,3.7,5.7,9.0,2.1,90,2.0,50,410,450,1.5,50,30,40,10,2.0,7.0,100,3.0,0.3,0.2,7.0,0.3,6,moderate,5
gemini_flash_breakfast_2,gemini_flash,breakfast,Bagels,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","[""2 pieces Bagel, whole wheat"", ""60 g Cream cheese, light"", ""100 g Salmon, smoked"", ""150 g Avocado, raw"", ""30 g Spinach, raw"", ""2 g Black pepper, ground""]","Begin by toasting the whole wheat bagels to your desired crispness. While the bagels are toasting, prepare the avocado by halving it, removing the pit, and slicing the flesh. Once the bagels are golden brown, spread an even layer of light cream cheese on each half. Next, arrange the smoked salmon slices over the cream cheese. Distribute the fresh avocado slices evenly on top of the salmon. Finish by adding a generous handful of fresh spinach leaves to each bagel, then sprinkle with freshly ground black pepper. Assemble the bagel halves and serve immediately.",2,943,46.1,43.3,94.0,9.9,10.0,19.6,3.7,160,4.3,137,300,1525,2,10,40,141,10,3,23,264,3,0.3,0.3,6,0.7,5,healthy,5
gemini_flash_breakfast_3,gemini_flash,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light, plain"", ""50 g Smoked salmon"", ""0.5 piece Avocado, ripe"", ""10 g Spinach, fresh"", ""10 g Red onion, raw, thinly sliced"", ""5 ml Lemon juice, fresh"", ""0.5 g Black pepper, ground""]","Begin by toasting the whole wheat bagel to your desired crispness. While the bagel is toasting, slice the half avocado and thinly slice the red onion. Once the bagel is toasted, spread the light cream cheese evenly on both halves. Layer the smoked salmon over the cream cheese on one half. Arrange the sliced avocado, fresh spinach, and red onion on top of the salmon. Squeeze a small amount of fresh lemon juice over the avocado and vegetables, then sprinkle with black pepper to taste. Place the other bagel half on top and serve immediately.",1,486,24.8,18,60.3,4.5,8,10.6,2.1,100,2.5,50,230,670,1,20,20,55,5,1.5,13,120,2,0.2,0.2,4,0.6,4,healthy,6
gemini_flash_breakfast_4,gemini_flash,breakfast,Bagels,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light"", ""50 g Salmon, smoked"", ""30 g Spinach, baby"", ""60 g Tomato, medium"", ""20 g Onion, red"", ""5 g Dill, fresh""]","Begin by toasting the whole wheat bagel to your desired crispiness. While the bagel is toasting, thinly slice the red onion and tomato. Once the bagel is ready, carefully spread the light cream cheese evenly over both halves. Arrange the smoked salmon slices over the cream cheese on the bottom half of the bagel. Top the salmon with fresh baby spinach leaves, sliced tomato, and red onion. Sprinkle generously with fresh dill before placing the top half of the bagel over the fillings. Serve immediately for a fresh and satisfying breakfast.",1,397,25.8,8.0,58.4,3.5,7.5,8.2,2.275,100,3.0,75,350,600,1.5,30,40,200,5,1.5,17,120,3,0.2,0.2,6.0,0.7,-8,healthy,6
gemini_flash_breakfast_5,gemini_flash,breakfast,Bagels,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"[""1 piece Bagel, whole wheat, medium"", ""50 g Cream cheese, light, plain"", ""50 g Salmon, smoked, slices"", ""50 g Cucumber, fresh"", ""2 g Dill, fresh"", ""5 ml Lemon juice, fresh""]","First, toast the whole wheat bagel to your desired crispness. While the bagel is toasting, thinly slice the fresh cucumber and finely chop the dill. In a small bowl, gently mix the light cream cheese with the chopped dill and a squeeze of fresh lemon juice. Once the bagel is toasted, spread the dill cream cheese evenly over both halves. Arrange the smoked salmon slices on top of the cream cheese, followed by the cucumber slices. Serve immediately and enjoy your fresh and balanced breakfast.",1,410,25,10,55,4,9,6,1.5,70,2,45,220,350,1,12,25,25,5,1.5,6,60,2.2,0.18,0.2,2.5,0.25,4,healthy,1
gemini_flash_breakfast_6,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Walnut Bread,"[""3 piece Banana, ripe, raw"", ""250 g Flour, whole wheat"", ""2 piece Egg, raw"", ""60 ml Maple syrup"", ""60 ml Olive oil"", ""120 ml Milk, low fat, 1.5% fat"", ""5 g Baking soda"", ""2 g Salt, table"", ""3 g Cinnamon, ground"", ""80 g Walnuts, raw, chopped""]","Preheat your oven to 175 degrees Celsius and lightly grease a standard loaf pan. In a large bowl, mash the ripe bananas thoroughly with a fork. To the mashed bananas, add the eggs, maple syrup, and olive oil, mixing well until thoroughly combined. In a separate bowl, whisk together the whole wheat flour, baking soda, salt, and ground cinnamon. Gradually add the dry ingredients to the wet ingredients, mixing until just combined; be careful not to overmix, as this can lead to a tough bread. Fold in the chopped walnuts gently. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. If the top starts to brown too quickly, you can loosely tent it with aluminum foil. Let the banana bread cool in the pan for 10-15 minutes before transferring it to a wire rack to cool completely before slicing and serving.",10,2527,66,125,321,17,95,43,2,180,11,320,900,2630,7,65,80,200,1.5,6.5,30,190,1.6,1,0.6,5.8,1.8,5,healthy,6
gemini_flash_breakfast_7,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Bread with Walnuts,"[""360 g Banana, ripe, mashed"", ""200 g Wheat flour, whole grain"", ""50 g Oats, rolled, uncooked"", ""75 g Maple syrup"", ""30 ml Coconut oil, melted"", ""60 g Applesauce, unsweetened"", ""2 pieces Egg, raw, large"", ""60 ml Milk, semi-skimmed"", ""1 tsp Baking soda"", ""0.5 tsp Baking powder"", ""1 tsp Vanilla extract"", ""0.5 tsp Cinnamon, ground"", ""0.25 tsp Salt"", ""50 g Walnuts, chopped""]","Preheat your oven to 175°C (350°F) and lightly grease and flour a standard loaf pan. In a large mixing bowl, combine the mashed bananas, maple syrup, melted coconut oil, unsweetened applesauce, eggs, milk, and vanilla extract, mixing until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking soda, baking powder, cinnamon, and salt. Gradually add the dry ingredients to the wet ingredients, mixing just until no dry streaks remain, being careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely before slicing.",12,2090,58.5,77.4,368.5,29.5,137.5,42.0,1.25,250,10,350,900,2200,5,40,70,60,1,6,25,120,1.2,1.0,0.6,5,1.0,7,moderate,5
gemini_flash_breakfast_8,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Nut Bread with Oats,"[""300 g Bananas, ripe, mashed"", ""200 g Wheat flour, whole grain"", ""50 g Rolled oats, uncooked"", ""75 g Coconut sugar"", ""2 piece Egg, raw, large"", ""60 ml Olive oil"", ""60 ml Milk, low fat"", ""5 g Baking powder"", ""2.5 g Baking soda"", ""2 g Salt, table"", ""5 ml Vanilla extract"", ""5 g Cinnamon, ground"", ""50 g Walnuts, chopped""]","Preheat your oven to 175°C. Lightly grease and flour a 23x13 cm loaf pan, ensuring it's well-coated to prevent sticking. In a large mixing bowl, thoroughly mash the ripe bananas until they are mostly smooth with a few small lumps remaining. To the mashed bananas, add the eggs, olive oil, low-fat milk, coconut sugar, and vanilla extract, then whisk everything together until all the wet ingredients are well combined. In a separate bowl, combine the whole wheat flour, rolled oats, baking powder, baking soda, table salt, and ground cinnamon, mixing well to distribute the leavening agents evenly. Gradually add the dry ingredients to the wet ingredients, stirring gently until just combined; be careful not to overmix, as this can make the bread tough. Gently fold in the chopped walnuts. Pour the prepared batter into the greased and floured loaf pan, spreading it evenly with a spatula. Bake for 50-60 minutes, or until a wooden skewer or toothpick inserted into the center of the loaf comes out clean. Once baked, remove the banana bread from the oven and let it cool in the pan for about 10 minutes before carefully transferring it to a wire rack to cool completely before slicing and serving.",12,2400,60,108,328,16,114,42,2,250,14,465,1175,2480,7,60,85,150,2,8,30,250,1.3,1.3,1.0,11,1.6,-1,healthy,2
gemini_flash_breakfast_9,gemini_flash,breakfast,Banana Breads,Wholesome Maple Pecan Banana Bread,"[""3 medium Bananas, ripe, mashed"", ""200 g Whole wheat flour"", ""50 g Rolled oats, uncooked"", ""100 g Maple syrup"", ""50 g Brown sugar"", ""60 ml Coconut oil, virgin, melted"", ""2 piece Egg, raw"", ""50 ml Milk, low-fat"", ""10 g Baking powder"", ""5 g Baking soda"", ""5 ml Vanilla extract"", ""2 g Cinnamon, ground"", ""1 g Salt"", ""50 g Pecans, chopped""]","Preheat your oven to 175°C and lightly grease and flour a standard loaf pan. In a large bowl, mash the ripe bananas until mostly smooth. Stir in the melted coconut oil, maple syrup, brown sugar, eggs, milk, and vanilla extract until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking powder, baking soda, cinnamon, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined; be careful not to overmix. Fold in the chopped pecans. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,2150,58,95,295,55,180,28,5.5,380,10,280,850,2000,4.5,25,50,80,1.5,6,30,200,0.5,0.8,0.6,7,1.2,7,moderate,5
gemini_flash_breakfast_10,gemini_flash,breakfast,Banana Breads,Wholesome Maple Walnut Banana Bread,"[""3 medium Bananas, ripe, mashed"", ""200 g Whole wheat flour"", ""50 g Oats, rolled, dry"", ""1 piece Egg, large"", ""60 ml Maple syrup"", ""60 ml Olive oil"", ""60 ml Milk, semi-skimmed"", ""100 g Walnuts, chopped"", ""1 tsp Baking soda"", ""0.5 tsp Baking powder"", ""1 tsp Cinnamon, ground"", ""0.5 tsp Salt"", ""1 tsp Vanilla extract""]","Preheat your oven to 175°C (350°F). Lightly grease and flour a 23x13 cm (9x5 inch) loaf pan. In a large mixing bowl, thoroughly mash the ripe bananas using a fork or potato masher. Add the large egg, maple syrup, olive oil, semi-skimmed milk, and vanilla extract to the mashed bananas and whisk until all wet ingredients are well combined. In a separate medium bowl, combine the whole wheat flour, rolled oats, baking soda, baking powder, ground cinnamon, and salt, whisking them together thoroughly. Gradually add the dry ingredients to the wet ingredients, mixing with a spatula until just combined. Be careful not to overmix the batter, as this can make the bread tough. Gently fold in the chopped walnuts. Pour the batter evenly into the prepared loaf pan and smooth the top. Bake for 50-60 minutes, or until a wooden skewer or toothpick inserted into the center of the loaf comes out clean. If the top begins to brown too quickly, you can loosely tent it with aluminum foil for the last 15-20 minutes of baking. Once baked, let the banana bread cool in the pan for 10 minutes before carefully transferring it to a wire rack to cool completely before slicing and serving.",10,2630,62,135,326,16,103,47,2.5,250,12,550,1300,2500,9,10,35,20,1,7,30,200,0.8,0.9,0.3,4,1.7,5,healthy,6
