recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
gpt54_mini_breakfast_1,gpt54_mini,breakfast,Bagels,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"[""2 pieces wholegrain bagel, plain"", ""120 g smoked salmon, sliced"", ""1 piece avocado, raw"", ""80 g Greek yogurt, plain, low fat"", ""10 g fresh dill"", ""20 g red onion"", ""50 g cucumber"", ""10 ml lemon juice"", ""2 g black pepper, ground"", ""2 g sesame seeds""]","Split the bagels and toast them lightly until the cut sides are crisp and warm. Mash the avocado with the lemon juice and black pepper until mostly smooth, then spread it evenly over the bagel halves. Stir the chopped dill into the yogurt and spoon a thin layer over the avocado. Top with the smoked salmon, thinly sliced red onion, and cucumber. Finish with sesame seeds and serve immediately while the bagels are still warm and the topping is fresh.",2,760,36,30,84,6,9,13,3.8,180,4.2,110,480,980,3.1,52,58,120,8.5,5.6,10,120,5.4,0.6,0.5,11.2,0.8,6,healthy,5
gpt54_mini_breakfast_2,gpt54_mini,breakfast,Bagels,Smoked Salmon and Avocado Wholegrain Bagels with Lemon-Dill Yogurt,"[""2 piece Wholegrain bagel, plain"", ""120 g Smoked salmon, sliced"", ""1 piece Avocado, raw"", ""80 g Greek yogurt, plain, low fat"", ""1 tbsp Lemon juice, fresh"", ""2 g Dill, fresh"", ""20 g Cucumber, raw"", ""20 g Red onion, raw"", ""10 g Capers, canned, drained"", ""5 ml Olive oil"", ""1 g Black pepper, ground""]","Split the bagels in half and toast them lightly until the cut sides are golden and crisp. In a small bowl, mix the yogurt with the lemon juice and chopped dill, then season with black pepper. Slice the avocado and cucumber thinly, and finely slice the red onion. Brush the warm bagel halves very lightly with olive oil, then spread each half with the lemon-dill yogurt. Top with avocado, smoked salmon, cucumber, red onion, and capers. Serve immediately while the bagels are still warm and the toppings are fresh.",2,712,34,29,79,5.7,8.2,13.4,4.1,185,5.1,118,420,910,2.8,72,52,96,8.6,5.4,11,132,6.4,0.42,0.46,8.1,0.58,7,healthy,5
gpt54_mini_breakfast_3,gpt54_mini,breakfast,Bagels,"Whole Wheat Bagels with Smoked Salmon, Avocado and Herbed Yogurt","[""240 g whole wheat bagels"", ""120 g smoked salmon"", ""100 g avocado"", ""80 g plain Greek yogurt, low fat"", ""30 g cucumber"", ""20 g red onion"", ""10 g fresh dill"", ""10 ml lemon juice"", ""5 g capers"", ""2 g black pepper"", ""2 g chia seeds""]","Slice the bagels in half and toast them lightly until the cut sides are crisp and warm. In a small bowl, mix the Greek yogurt with the lemon juice, black pepper, and half of the chopped dill. Finely slice the cucumber and red onion. Mash the avocado with a fork until spreadable. Spread the avocado over the toasted bagel halves, then spoon on the herbed yogurt. Top with smoked salmon, cucumber, red onion, capers, and the remaining dill. Finish with chia seeds for a little extra crunch and serve immediately while the bagels are still warm.",2,760,39,29,77,5.5,8,13,3.2,180,4.5,110,420,760,2.8,65,55,180,8,4.6,12,120,4.8,0.5,0.6,8.5,0.7,9,healthy,5
gpt54_mini_breakfast_4,gpt54_mini,breakfast,Bagels,Smoked Salmon and Avocado Wholegrain Bagels with Lemon Dill Yogurt,"[""2 pieces wholegrain bagel"", ""120 g smoked salmon"", ""100 g avocado"", ""80 g plain Greek yogurt, low fat"", ""10 g lemon juice"", ""5 g fresh dill"", ""40 g cucumber"", ""20 g red onion"", ""20 g baby spinach"", ""2 g black pepper"", ""2 g sesame seeds""]","Split the bagels and toast them lightly until the cut sides are golden and crisp. In a small bowl, mix the Greek yogurt with the lemon juice and finely chopped dill, then season with black pepper. Slice the avocado thinly, cut the cucumber into ribbons or thin slices, and finely slice the red onion. Spread the lemon dill yogurt over each toasted bagel half, then layer on the baby spinach, cucumber, avocado, red onion, and smoked salmon. Finish with a light sprinkle of sesame seeds and serve immediately while the bagels are still warm and crisp.",2,702,40,26,75,5.4,8.2,11.5,4.1,180,4.2,110,470,920,3.0,55,58,180,8.5,4.8,10,110,4.5,0.45,0.55,8.2,0.75,7,healthy,5
gpt54_mini_breakfast_5,gpt54_mini,breakfast,Bagels,Smoked Salmon and Avocado Wholegrain Bagels with Lemon Yogurt,"[""2 piece wholegrain bagel"", ""120 g smoked salmon"", ""1 piece avocado"", ""80 g plain yogurt, low fat"", ""1 tbsp lemon juice"", ""10 g dill, fresh"", ""40 g cucumber"", ""20 g red onion"", ""1 tbsp capers, drained"", ""2 g black pepper"", ""2 g sea salt""]","Split the bagels and toast them lightly until the cut sides are crisp and warm. In a small bowl, mix the yogurt with the lemon juice and half of the chopped dill until smooth. Peel and slice the avocado, then thinly slice the cucumber and red onion. Spread the lemon yogurt over the toasted bagel halves, top with avocado, cucumber, smoked salmon, and red onion, then scatter over the capers and the remaining dill. Finish with black pepper and a small pinch of sea salt, and serve immediately while the bagels are still warm.",2,810,39,32,88,6.5,8,12,4.2,210,4.6,110,470,980,3.2,140,52,95,9.5,5.1,7,120,3.8,0.42,0.38,8.4,0.55,7,moderate,5
gpt54_mini_breakfast_6,gpt54_mini,breakfast,Banana Breads,Wholegrain Banana Bread with Walnuts and Yogurt,"[""300 g banana, raw, ripe"", ""2 piece egg, whole, raw"", ""120 g yogurt, plain, low fat"", ""60 ml rapeseed oil"", ""80 g sugar, brown"", ""180 g flour, wholemeal wheat"", ""40 g oats, rolled"", ""10 g baking powder"", ""3 g baking soda"", ""2 g salt, table"", ""5 g cinnamon, ground"", ""60 g walnut kernels"", ""5 ml vanilla extract""]","Preheat the oven to 175 C and line a 23 cm loaf tin with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, yogurt, rapeseed oil, and vanilla extract until well combined. In a separate bowl, mix the wholemeal flour, oats, brown sugar, baking powder, baking soda, salt, and cinnamon. Add the dry ingredients to the wet mixture and fold gently until just combined, then stir in most of the walnuts, reserving a few for the top. Pour the batter into the prepared tin and smooth the surface. Sprinkle the remaining walnuts over the top and bake for 50 to 60 minutes, until the loaf is golden brown and a skewer inserted into the centre comes out clean or with only a few moist crumbs. Let the bread cool in the tin for 10 minutes, then transfer it to a wire rack and allow it to cool completely before slicing.",10,2280,53,96,305,13,117,31,2.8,420,12.5,360,940,2950,7.2,52,38,110,2.4,9.1,18,165,1.4,0.85,1.2,7.8,1.6,7,moderate,4
gpt54_mini_breakfast_7,gpt54_mini,breakfast,Banana Breads,Wholemeal Banana Bread with Walnuts and Greek Yogurt,"[""3 piece Banana, raw"", ""250 g Wheat flour, wholemeal"", ""50 g Oats, rolled, dry"", ""2 piece Egg, raw"", ""150 g Yogurt, Greek, plain, low fat"", ""60 ml Oil, rapeseed"", ""80 g Sugar, brown"", ""8 g Baking powder"", ""3 g Baking soda"", ""2 g Salt"", ""5 ml Vanilla extract"", ""1 g Cinnamon, ground"", ""50 g Walnuts, plain, unsalted"", ""20 ml Milk, semi-skimmed""]","Preheat the oven to 175°C and line a 23 cm loaf tin with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, Greek yogurt, rapeseed oil, milk, vanilla extract and brown sugar until combined. In a separate bowl, mix the wholemeal flour, rolled oats, baking powder, baking soda, salt and cinnamon. Add the dry ingredients to the wet mixture and stir gently until just combined, then fold in the walnuts. Do not overmix, or the bread may become dense. Scrape the batter into the prepared tin and smooth the top. Bake for 50 to 60 minutes, until the loaf is golden brown and a skewer inserted into the centre comes out clean or with a few moist crumbs. Leave the bread to cool in the tin for 10 minutes, then transfer it to a wire rack and cool completely before slicing.",10,2160,53,82,310,13,98,31,2.4,410,13.2,360,980,2900,9.1,36,48,260,4.2,10.5,24,165,1.8,1.2,1.9,12.4,2.1,7,moderate,4
gpt54_mini_breakfast_8,gpt54_mini,breakfast,Banana Breads,Moist Wholemeal Banana Bread with Oats and Walnuts,"[""300 g ripe banana, raw"", ""150 g wholemeal wheat flour"", ""50 g rolled oats"", ""60 g walnut kernels"", ""2 pieces egg, raw"", ""80 g plain yogurt, low-fat"", ""40 g rapeseed oil"", ""60 g honey"", ""8 g baking powder"", ""2 g baking soda"", ""2 g ground cinnamon"", ""1 g salt"", ""5 ml vanilla extract""]","Preheat the oven to 175 C and line a 900 g loaf tin with baking paper. Mash the bananas in a large bowl until mostly smooth, then whisk in the eggs, yogurt, rapeseed oil, honey, and vanilla until well combined. In a second bowl, mix the wholemeal flour, oats, baking powder, baking soda, cinnamon, and salt. Add the dry ingredients to the wet mixture and fold gently until just combined, then stir in the walnuts. Spoon the batter into the prepared tin and level the surface. Bake for 50 to 60 minutes, or until the top is golden brown and a skewer inserted into the centre comes out clean or with only a few moist crumbs. Leave the loaf to cool in the tin for 10 minutes, then transfer it to a wire rack and cool completely before slicing.",10,1700,41,70,228,9,86,26,1.6,210,6.8,220,620,1500,5.2,50,35,120,2.2,7.5,14,135,1.0,0.9,0.7,7.2,1.4,5,healthy,5
gpt54_mini_breakfast_9,gpt54_mini,breakfast,Banana Breads,Wholemeal Banana Bread with Walnuts and Cinnamon,"[""3 pieces banana, raw"", ""2 pieces egg, raw"", ""80 g yogurt, plain, low fat"", ""60 ml rapeseed oil"", ""120 g flour, wholemeal wheat"", ""80 g oat flour"", ""70 g sugar, brown"", ""1 tsp baking powder"", ""1 tsp baking soda"", ""1 tsp cinnamon, ground"", ""1 g salt"", ""50 g walnuts"", ""5 ml vanilla extract""]","Preheat the oven to 175 C and line a 900 g loaf tin with baking paper. Mash the bananas in a large bowl until mostly smooth, then whisk in the eggs, yogurt, rapeseed oil, and vanilla extract. In a second bowl, mix the wholemeal flour, oat flour, brown sugar, baking powder, baking soda, cinnamon, and salt. Fold the dry ingredients into the banana mixture just until combined, then gently stir in the walnuts. Pour the batter into the prepared tin and smooth the top. Bake for 50 to 60 minutes, until the loaf is well risen and a skewer inserted into the centre comes out clean or with only a few moist crumbs. Leave to cool in the tin for 10 minutes, then transfer to a wire rack and cool completely before slicing.",10,1880,45,79,249,8,94,24,2,170,8.2,275,690,1750,5.6,28,34,110,2.0,10.5,22,120,0.8,0.9,0.7,6.8,1.3,7,moderate,5
gpt54_mini_breakfast_10,gpt54_mini,breakfast,Banana Breads,Wholemeal Banana Bread with Walnuts and Cinnamon,"[""300 g ripe banana, raw"", ""180 g wholemeal wheat flour"", ""50 g rolled oats"", ""2 piece egg, raw"", ""60 ml rapeseed oil"", ""80 g plain yogurt, low fat"", ""60 g brown sugar"", ""10 g baking powder"", ""2 g baking soda"", ""3 g ground cinnamon"", ""1 g salt"", ""80 g walnut kernel"", ""5 ml vanilla extract""]","Preheat the oven to 175 C and line a 23 cm loaf tin with baking paper. Mash the bananas in a large bowl until mostly smooth, then whisk in the eggs, rapeseed oil, yogurt, brown sugar and vanilla extract. In a separate bowl, mix the wholemeal flour, rolled oats, baking powder, baking soda, cinnamon and salt. Fold the dry ingredients into the wet mixture just until combined, then stir in most of the walnuts. Pour the batter into the prepared tin and scatter the remaining walnuts over the top. Bake for 50 to 60 minutes, until the loaf is golden brown and a skewer inserted into the centre comes out clean or with just a few moist crumbs. Let it cool in the tin for 10 minutes before transferring to a wire rack to cool completely before slicing.",10,1990,45,89,260,9,102,30,2.2,260,10.5,330,980,2900,6.5,30,45,140,2.0,11.5,18,120,1.0,1.2,1.1,11.0,2.1,7,moderate,5
