recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
gpt54_nano_breakfast_1,gpt54_nano,breakfast,Bagels,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato","[""120 g wholemeal bagel"", ""80 g smoked salmon"", ""80 g avocado, raw"", ""120 g tomato, fresh"", ""20 g low-fat Greek yoghurt"", ""10 g lemon juice"", ""5 g olive oil"", ""1 g black pepper"", ""1 g salt""]","Slice the wholemeal bagel in half and toast it in a toaster or under a grill for 2–3 minutes until the cut sides are lightly crisp and golden. Mash the avocado in a bowl and stir in the lemon juice and Greek yoghurt until creamy. Chop the tomato and drain any excess juices if it looks watery. Spread the avocado mixture generously on the toasted bagel halves. Top with smoked salmon, add the chopped tomato, then drizzle with the olive oil and finish with black pepper and a little salt. Serve immediately while the bagel is still warm.",2,650,34,30,63,5,6,13,4,150,4,95,520,850,4,35,32,180,5,3.5,25,140,6,0.3,0.4,9,0.6,8,healthy,5
gpt54_nano_breakfast_2,gpt54_nano,breakfast,Bagels,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg","[""2 wholegrain bagels"", ""1 piece avocado, raw"", ""120 g smoked salmon"", ""2 piece eggs"", ""1 tbsp olive oil"", ""1 tsp lemon juice"", ""1 g dill, fresh"", ""2 g black pepper, ground"", ""3 g sea salt""]","Slice the avocado and mash the flesh in a bowl with lemon juice, half the dill, black pepper, and a pinch of the sea salt. Fill a small saucepan with water and bring it to a gentle simmer, then crack the eggs into separate cups and slide them into the water one at a time. Poach for about 3–4 minutes until the whites are set but the yolks are still runny. Toast the wholegrain bagels until they are golden. Brush the cut sides lightly with olive oil, then spread with the avocado mixture. Top each bagel with smoked salmon and a poached egg, and finish with the remaining dill and a tiny bit of sea salt.",2,860,52,44,69,10,8,16,6.2,220,6.2,150,650,980,6.2,42,70,320,6.0,6.2,15,220,4.5,0.7,0.8,14.0,0.9,9,healthy,5
gpt54_nano_breakfast_3,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber","[""2 pieces whole-grain bagel"", ""120 g smoked salmon"", ""150 g Greek yogurt, low-fat (5% fat)"", ""1 tbsp olive oil, extra virgin"", ""1 tbsp lemon juice"", ""1 tbsp fresh dill"", ""150 g cucumber"", ""1 g black pepper, ground""]","Toast the whole-grain bagels until they are golden and crisp, then cut them in half. In a bowl, mix the low-fat Greek yogurt with lemon juice and chopped fresh dill, then season with the ground black pepper. Spread the dill yogurt generously over the toasted bagels. Layer the smoked salmon on top, then slice the cucumber thinly and pile it on for crunch. Drizzle the olive oil lightly over the top and serve immediately while the bagels are still warm.",2,790,52,26,92,6.5,7.5,14,5.1,520,4.9,150,680,980,5.8,70,60,240,6.0,3.8,8.5,180,8.2,0.6,0.8,10.5,0.9,7,healthy,6
gpt54_nano_breakfast_4,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg","[""2 wholegrain bagels"", ""80 g smoked salmon"", ""1 medium egg"", ""160 g avocado, raw"", ""1 tbsp lemon juice"", ""1 tbsp low-fat plain Greek yogurt"", ""10 g fresh dill"", ""1 g sea salt"", ""0.5 g black pepper""]","Halve the whole-grain bagels and toast them in a toaster or dry pan over medium heat until the cut sides are golden and crisp. While the bagels toast, bring a small saucepan of water to a gentle simmer and add a splash of lemon juice. Crack the egg into a cup, then slide it into the simmering water and poach for about 3 to 4 minutes until the white is set and the yolk is still soft. Mash the avocado with the lemon juice, Greek yogurt, half the dill, sea salt, and black pepper until creamy. Spread the avocado mixture over the toasted bagel halves, top with smoked salmon, and place the poached egg on top. Finish with the remaining dill and serve immediately while the bagels are still warm.",2,760,49,33,70,7.5,6.5,16,3.2,220,4.2,110,520,980,6.6,70,48,180,5.8,3.6,16,165,3.2,0.6,0.5,11.2,0.6,8,healthy,5
gpt54_nano_breakfast_5,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill","[""2 medium bagels, whole-grain, unsweetened"", ""120 g smoked salmon"", ""1 medium avocado"", ""120 g low-fat Greek yogurt (2% fat)"", ""10 g fresh dill"", ""1 tbsp lemon juice"", ""1 tsp capers, rinsed"", ""1 tsp olive oil"", ""2 pinches sea salt"", ""1 pinch black pepper""]","Halve the whole-grain bagels and toast them until they are golden and crisp at the edges. Mash the avocado in a bowl with the lemon juice, black pepper, and half of the chopped dill. In a second bowl, stir the Greek yogurt with the remaining dill, capers, a small drizzle of olive oil, and a little sea salt. Spread the avocado mixture over the toasted bagels, top with the smoked salmon, and finish with a spoonful of the herbed yogurt sauce. Serve immediately while the bagels are still warm, and you should see lightly crisp edges and a creamy, well-combined topping.",2,780,49,33,78,7,6,13,4.9,540,6.8,160,760,980,6.5,55,43,115,4.5,7.2,14,240,6.2,0.45,0.35,11.0,0.7,8,healthy,5
gpt54_nano_breakfast_6,gpt54_nano,breakfast,Banana Breads,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"[""300 g bananas, ripe, mashed"", ""150 g rolled oats"", ""120 g whole wheat flour"", ""60 g plain Greek yogurt, low fat 2%"", ""60 ml rapeseed oil"", ""2 large eggs, raw"", ""80 g walnuts, chopped"", ""10 g baking powder"", ""3 g ground cinnamon"", ""2 g fine salt"", ""30 g honey""]","Heat the oven to 180°C (160°C fan). Line a loaf tin (about 900 g capacity) with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, Greek yogurt and rapeseed oil until well combined. Stir in the honey and cinnamon. Add the oats, whole wheat flour, baking powder and salt, then mix until you have a thick batter. Fold in the chopped walnuts and scrape the batter into the tin. Bake for 45–55 minutes, until the top is golden and a skewer inserted into the centre comes out clean or with only a few moist crumbs. Let the bread cool in the tin for 10 minutes, then transfer to a rack to cool fully before slicing.",8,2320,77,118,262,14,88,46,8,440,11.5,260,920,1950,7.8,40,80,180,3,9,15,320,1.7,1.1,0.9,14,1.2,7,healthy,5
gpt54_nano_breakfast_7,gpt54_nano,breakfast,Banana Breads,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"[""260 g ripe bananas, mashed"", ""180 g Greek yogurt, plain, low-fat"", ""80 g whole rolled oats"", ""120 g whole wheat flour"", ""60 g walnuts, chopped"", ""2 pieces eggs, whole"", ""60 ml rapeseed oil"", ""10 g baking powder"", ""5 g ground cinnamon"", ""2 g fine salt"", ""30 g honey"", ""5 ml vanilla extract""]","Preheat your oven to 175°C and line a loaf pan with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, Greek yogurt, rapeseed oil, honey, and vanilla until the mixture looks creamy and evenly combined. Stir in the oats, whole wheat flour, baking powder, cinnamon, and salt, mixing just until no dry flour remains. Fold in the chopped walnuts, then pour the batter into the prepared pan and smooth the top. Bake for 45–55 minutes, until the loaf is golden and a skewer inserted in the center comes out clean or with only a few moist crumbs. Let it cool in the pan for 10 minutes, then transfer to a rack to cool further before slicing.",8,2120,78,109,226,13,78,36,2,1040,9,310,1120,1640,8.5,25,60,320,3.6,6.8,14,420,3.2,0.9,0.8,15,1.4,7,healthy,5
gpt54_nano_breakfast_8,gpt54_nano,breakfast,Banana Breads,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,"[""2 large bananas, ripe, mashed"", ""180 g rolled oats"", ""120 g wholewheat flour"", ""2 tsp baking powder"", ""1 tsp ground cinnamon"", ""80 g plain Greek yogurt, non-fat"", ""2 large eggs, raw"", ""60 ml rapeseed oil"", ""50 g walnuts, chopped"", ""1 pinch salt"", ""1 tbsp honey""]","Preheat your oven to 180°C and line a loaf tin with baking paper. In a large bowl, mash the ripe bananas until mostly smooth, then stir in the Greek yogurt, eggs, oil, and honey until well combined. In a second bowl, mix the oats, wholewheat flour, baking powder, cinnamon, and salt. Add the dry ingredients to the wet mixture and stir just until no dry flour remains. Fold in the chopped walnuts, then scrape the batter into the prepared tin and smooth the top. Bake for 45–55 minutes, until the bread is deep golden and a skewer inserted into the center comes out clean or with a few moist crumbs. Let it cool in the tin for 10 minutes before lifting it out to cool fully on a rack, then slice.",8,2640,92,126,274,20,86,56,1.8,620,16,330,1230,2350,10,25,60,210,4,7,18,220,3.0,1.2,0.9,16,0.9,8,healthy,5
gpt54_nano_breakfast_9,gpt54_nano,breakfast,Banana Breads,Wholegrain Banana Oat Bread with Walnuts and Cinnamon,"[""3 piece Banana, ripe"", ""200 g Rolled oats"", ""120 g Whole wheat flour"", ""80 g Walnuts, chopped"", ""2 piece Egg, whole, raw"", ""120 ml Plain low-fat yogurt"", ""60 ml Rapeseed oil"", ""3 g Baking powder"", ""2 g Baking soda"", ""4 g Ground cinnamon"", ""2 g Fine salt""]","Heat the oven to 180°C and line a loaf tin with baking paper. Mash the bananas in a large bowl until mostly smooth, then whisk in the eggs, yogurt, and rapeseed oil. Stir in the oats, whole wheat flour, baking powder, baking soda, cinnamon, and salt, mixing until you have a thick batter. Fold in the chopped walnuts, then spoon the batter into the tin and smooth the top. Bake for about 45–55 minutes, until the loaf is deep golden and a skewer inserted in the center comes out clean or with a few moist crumbs. Let the banana bread cool in the tin for 10 minutes, then transfer to a rack to cool further before slicing.",8,3090,103,147,361,18,99,70,2.0,940,17.5,360,1120,2320,8.6,18,75,220,2.4,12.5,12,420,2.1,1.3,1.2,10.5,0.9,8,healthy,5
gpt54_nano_breakfast_10,gpt54_nano,breakfast,Banana Breads,Whole-Grain Banana Bread with Walnuts and Cinnamon,"[""220 g ripe bananas, mashed"", ""140 g whole wheat flour"", ""80 g rolled oats"", ""120 g nonfat Greek yogurt"", ""2 piece eggs, raw"", ""30 g walnuts, chopped"", ""60 g honey"", ""60 ml olive oil"", ""1 tsp baking powder"", ""1 tsp baking soda"", ""1 tsp ground cinnamon"", ""2 g fine salt""]","Preheat your oven to 175°C and line a loaf pan with baking paper. Mash the bananas thoroughly until mostly smooth. In a large bowl, whisk the eggs, honey, olive oil, and Greek yogurt until the mixture looks glossy. Stir in the mashed bananas. Add the whole wheat flour, rolled oats, baking powder, baking soda, cinnamon, and salt, then mix just until no dry flour pockets remain. Fold in the chopped walnuts. Pour the batter into the pan and bake for 45–55 minutes, until the top is golden and a skewer inserted into the center comes out clean or with a few moist crumbs. Let the banana bread cool in the pan for 10 minutes, then transfer to a rack to cool completely before slicing.",8,2538,88,116,284,19,88,46,7,1210,15,326,1030,1870,8.5,65,90,260,6,12,12,390,2.0,0.9,1.1,26,0.9,9,moderate,4
