foodId,foodName,latinName,foodGroupId,uri,calories.quantity,calories.unit,energy.quantity,energy.unit,ediblePart.percent,alcohol,beta_carotene,c12:0_(lauric_acid),c14:0_(myristic_acid),c16:0_(palmitic_acid),c16:1_sum_(palmitoleic_acid),c18:0_(stearic_acid),c18:1_sum_(oleic_acid),c18:2n_6_(linoleic_acid),c18:3n_3_(alpha_linolenic_acid),c20:3n_3_(eicosatrienoic_acid),c20:3n_6_(dihomo_gamma_linolenic_acid_dgla),c20:4n_3_(eicosatetraenoic_acid),c20:4n_6_(arachidonic_acid),c20:5n_3_(eicosapentaenoic_acid_epa),c22:5n_3_(docosapentaenoic_acid_dpa),c22:6n_3_(docosahexaenoic_acid_dha),calcium_(ca),carbohydrate,cholesterol,copper_(cu),dietary_fibre,fat,iodine_(i),iron_(fe),magnesium_(mg),monounsaturated_fatty_acids,niacin_equivalents,omega_3,omega_6,phosphorus_(p),polyunsaturated_fatty_acids,potassium_(k),protein,retinol,salt_(nacl),saturated_fatty_acids,selenium_(se),sodium_(na),starch,sugar_added,sugar_free,sugar_total,trans_fatty_acids,vitamin_a_(rae),vitamin_a_(re),vitamin_b12_(cobalamin),vitamin_b1_(thiamin),vitamin_b2_(riboflavin),vitamin_b3_(niacin),vitamin_b6_(pyridoxine),vitamin_b9_(folate),vitamin_c_(askorbic_acid),vitamin_d,vitamin_e,water,zinc_(zn)
6.178,"Adzuki beans, uncooked",Vigna angularis (Willd.) Ohwi & H. Ohashi var. angularis,12,https://www.matvaretabellen.no/en/adzuki-beans-uncooked/,310.0,kcal,1312.4,kJ,100.0,0.0,12.0,0.0,0.0,0.12,0.0,0.03,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.2,0.0,1.09,13.0,0.5,,5.0,127.0,0.1,5.9,0.0,0.11,381.0,0.1,1254.0,19.9,0.0,0.0,0.2,3.0,5.0,47.2,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.46,0.22,2.6,0.35,622.0,0.0,0.0,,17.0,5.0
9.179,Agave syrup,,7.1,https://www.matvaretabellen.no/en/agave-syrup/,285.0,kcal,1211.9,kJ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,70.2,0.0,0.24,0.0,0.5,0.0,0.3,34.0,0.0,0.0,0.0,0.0,2.0,0.0,220.0,0.0,0.0,0.0,0.3,1.0,4.0,0.0,70.2,70.2,70.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.1
8.254,Aioli,,8.3,https://www.matvaretabellen.no/en/aioli/,728.0,kcal,2996.188862745098,kJ,100.0,0.0,2.0,0.0,0.01,6.22,0.17,2.42,29.18,32.74,3.4,0.0,0.01,0.0,0.09,0.0,0.0,0.04,25.0,0.5,143.0,0.03,0.1,79.4,11.0,1.0,4.0,29.6,0.7,3.52,32.7,90.0,36.7,38.0,3.0,75.0,0.6,9.2,8.0,228.0,0.3,0.0,0.1,0.1,0.0,75.0,75.0,0.9,0.04,0.08,0.01,0.06,25.0,2.0,1.4,25.7,17.0,0.7
6.79,"Ajvar, sweet pepper sauce, home-made",,10.6,https://www.matvaretabellen.no/en/ajvar-sweet-pepper-sauce-home-made/,53.0,kcal,222.0,kJ,100.0,0.0,442.0,0.0,0.0,0.25,0.02,0.06,1.25,0.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.5,0.0,0.07,4.0,1.9,2.0,0.5,17.0,1.3,0.8,0.07,0.25,34.0,0.2,291.0,1.3,0.0,1.1,0.3,0.0,428.0,0.5,0.5,0.6,5.0,0.0,37.0,73.0,0.0,0.05,0.06,0.6,0.2,44.0,77.0,0.0,1.0,87.0,0.2
4.341,"Alaska pollock, raw","Theragra chalcogramma (Pallas, 1874)",4.1.2,https://www.matvaretabellen.no/en/alaska-pollock-raw/,72.0,kcal,305.0,kJ,,0.0,0.0,0.0,0.01,0.09,0.01,0.03,0.05,0.02,0.0,0.0,0.0,0.0,0.01,0.09,0.01,0.16,12.0,0.0,49.0,0.03,0.0,0.7,56.0,0.2,30.0,0.2,5.6,0.26,0.03,120.0,0.2,216.0,16.4,0.0,0.2,0.1,27.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03,0.09,2.6,0.04,5.0,0.0,0.0,0.6,83.0,0.4
6.114,"Alfalfa seeds, sprouted, raw",Medicago sativa L. ssp. sativa,6.2,https://www.matvaretabellen.no/en/alfalfa-seeds-sprouted-raw/,27.0,kcal,112.0,kJ,100.0,0.0,96.0,0.0,0.0,0.06,0.0,0.01,0.06,0.23,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.3,0.0,0.16,2.0,0.7,0.3,1.0,27.0,0.1,1.2,0.18,0.23,70.0,0.4,79.0,4.0,0.0,0.0,0.1,1.0,6.0,0.0,0.0,0.0,0.3,0.0,8.0,16.0,0.0,0.04,0.06,0.5,0.03,36.0,2.0,0.0,0.0,93.0,0.9
13.098,Almond based beverage,,9.5,https://www.matvaretabellen.no/en/almond-based-beverage/,26.0,kcal,109.0,kJ,100.0,0.0,0.0,0.0,0.0,0.08,0.01,0.02,0.79,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,0.0,0.02,0.2,1.3,0.1,0.1,6.0,0.8,0.1,0.0,0.3,67.0,0.3,17.0,0.0,0.0,0.1,0.1,0.0,49.0,0.4,2.3,2.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.4,0.0,0.0,0.0,95.0,0.0
13.099,"Almond based beverage, unsweetened, with calcium and vitamins (vit B2, vit B12, vit E, vit D)",,9.5,https://www.matvaretabellen.no/en/almond-based-beverage-unsweetened-with-calcium-and-vitamins-vit-b2-vit-b12-vit-e-vit-d/,13.0,kcal,52.0,kJ,100.0,0.0,0.0,0.0,0.0,0.1,0.01,0.03,0.95,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.1,0.0,,0.0,1.4,0.2,0.1,9.0,1.0,0.0,0.0,0.28,75.0,0.3,16.0,0.0,0.0,0.1,0.1,0.0,48.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.24,0.0,0.01,2.0,0.0,0.7,2.9,99.0,0.1
5.42,Almond flour,Amygdalus communis L.,5.1,https://www.matvaretabellen.no/en/almond-flour/,603.0,kcal,2492.41,kJ,100.0,0.0,3.0,0.0,0.0,3.3,0.25,0.76,32.95,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,4.0,0.0,0.92,10.0,53.1,0.0,3.6,280.0,33.4,6.8,,13.1,520.0,13.1,670.0,22.4,0.0,0.0,4.2,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.21,0.78,3.1,0.11,34.0,0.0,0.0,25.5,11.0,3.0
6.68,"Almond spread, home-made",,14.3,https://www.matvaretabellen.no/en/almond-spread-home-made/,581.0,kcal,2399.642679076479,kJ,100.0,0.0,0.0,0.0,0.0,3.08,0.22,0.82,29.96,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,6.9,0.0,0.97,10.0,50.1,0.6,3.4,251.0,30.2,5.2,0.0,10.92,457.0,10.9,719.0,20.4,0.0,2.9,3.9,2.0,1140.0,0.1,0.4,0.4,6.8,0.0,0.0,0.0,0.0,0.13,0.9,1.8,0.13,73.0,1.0,0.0,22.4,12.0,3.2
