ingredient_name,unit_lower,portion_match,nutrient_match,n,mean_grams,total_grams
Olive oil,tbsp,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",1581,14.263124604680582,22550.0
Olive oil,dl,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",653,19.838591117917304,12954.6
"Spring onions, chopped",medium,"cabbage, spring green","scallion, spring onion, raw",7,1600.0,11200.0
"Almond milk, unsweetened",dl,milk,almond based beverage,77,131.55844155844156,10130.0
olive oil,tbsp,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",538,13.940520446096654,7500.0
rapeseed oil,dl,"breakfast cereal with oats, fruit and oil, crüsli","oil, rapeseed",186,38.03225806451613,7074.0
red bell pepper,piece,"chili pepper, red","sweet pepper, red, raw",43,163.54651162790697,7032.5
"Green onions, chopped (about 30 g)",medium,"cabbage, spring green","scallion, spring onion, raw",4,1600.0,6400.0
"red bell pepper, raw",piece,"chili pepper, red","sweet pepper, red, raw",40,155.875,6235.0
"Red bell pepper, diced",piece,"chili pepper, red","sweet pepper, red, raw",41,145.0,5945.0
olive oil,dl,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",326,17.817791411042947,5808.6
"Red bell pepper, raw",piece,"chili pepper, red","sweet pepper, red, raw",40,145.0,5800.0
"Olive oil, extra virgin",dl,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",215,25.0053488372093,5376.15
Egg roll wrappers,pieces,"egg, boiled","pasta, plain, uncooked",8,644.0,5152.0
"Green onions, chopped",pieces,"cabbage, spring green","scallion, spring onion, raw",3,1600.0,4800.0
"spring onions, chopped",piece,"cabbage, spring green","scallion, spring onion, raw",3,1600.0,4800.0
apple,medium,pineapple,"apple, granny smith, golden delicious, raw",6,775.8333333333334,4655.0
Unsweetened almond milk,dl,milk,almond based beverage,34,121.47058823529412,4130.0
"Greek yogurt, plain, low-fat",dl,"sponge cake, plain","yoghurt, plain, 2 % fat, greek/turkish",31,125.80645161290323,3900.0
"Lettuce leaves, iceberg",large,iceberg lettuce,"lettuce, iceberg, raw",1,3760.0,3760.0
"Lettuce leaves, romaine",pieces,iceberg lettuce,romaine lettuce,1,3760.0,3760.0
lettuce leaves (romaine/butterhead),large,iceberg lettuce,"lettuce leaves, norwegian, raw",1,3760.0,3760.0
"Whole wheat tortillas, medium size",pieces,medium eggs,"wheat flour, white, tortilla mix, enriched",12,309.3333333333333,3712.0
"Potatoes, peeled and quartered",medium,"stew, with meat, potatoes and vegetables","potatoes, autumn, raw",3,1200.0,3600.0
Apple cider vinegar,dl,"apple, dried","vinegar, apple cider",63,51.19047619047619,3225.0
Spring onions,medium,"cabbage, spring green","scallion, spring onion, raw",1,3200.0,3200.0
"Green onions, chopped",medium,"cabbage, spring green","scallion, spring onion, raw",2,1600.0,3200.0
"Red bell pepper, sliced",medium,"chili pepper, red","sweet pepper, red, raw",21,145.0,3045.0
"Greek yogurt, plain, non-fat",dl,"sponge cake, plain","yoghurt, plain, 2 % fat, greek/turkish",23,130.43478260869566,3000.0
Eggs,large,extra large eggs,"egg, organic, raw",16,185.25,2964.0
"Bell peppers, red, raw",pieces,"egg, raw","sweet pepper, red, raw",5,580.0,2900.0
"Red bell pepper, medium",piece,"chili pepper, red","sweet pepper, red, raw",20,145.0,2900.0
eggs,large,extra large eggs,"egg, organic, raw",17,165.1764705882353,2808.0
"Red bell pepper, sliced",piece,"chili pepper, red","sweet pepper, red, raw",19,145.0,2755.0
Rapeseed oil,dl,"breakfast cereal with oats, fruit and oil, crüsli","oil, rapeseed",64,40.11328125,2567.25
Whole wheat burger buns,pieces,"fish burger, fastfood","bread, roll, mexican, bollilo",7,365.7142857142857,2560.0
"eggs, whole",piece,extra large eggs,"egg, organic, raw",12,195.0,2340.0
"Bell peppers, mixed colors, raw",pieces,"egg, raw","sweet pepper, green, raw",4,580.0,2320.0
"Bell peppers, red",pieces,"chili pepper, red","sweet pepper, red, raw",4,580.0,2320.0
"Eggs, room temperature",large,extra large eggs,"egg, organic, raw",13,168.0,2184.0
"Red bell pepper, diced",medium,"chili pepper, red","sweet pepper, red, raw",15,145.0,2175.0
Vegetable oil,dl,"vegetable spread, tartex","oil, rapeseed",52,40.32692307692308,2097.0
"Whole wheat tortillas, medium",pieces,medium eggs,"wheat flour, white, tortilla mix, enriched",6,348.0,2088.0
apple cider vinegar,dl,"apple, dried","vinegar, apple cider",21,97.61904761904762,2050.0
"Bell pepper, red, raw",piece,"chili pepper, red","sweet pepper, red, raw",13,156.15384615384616,2030.0
"Potatoes, diced",medium,mashed potatoes,"potatoes, autumn, raw",5,400.0,2000.0
"Fresh parsley, chopped",tbsp,fresh pasta,"parsley, herb, norwegian, raw",83,24.03614457831325,1995.0
apple,piece,pineapple,"apple, granny smith, golden delicious, raw",2,997.5,1995.0
"apple, with skin, raw",medium,"chicken, with skin","apple, granny smith, golden delicious, raw",1,1980.0,1980.0
"apple, with skin, raw",pieces,"chicken, with skin","apple, granny smith, golden delicious, raw",1,1980.0,1980.0
"Apple, raw, with skin, diced",medium,"chicken, with skin","apple, granny smith, golden delicious, raw",1,1980.0,1980.0
"apple, with skin",piece,"chicken, with skin","apple, granny smith, golden delicious, raw",2,990.0,1980.0
"Apple, raw, with skin, chopped",medium,"chicken, with skin","apple, granny smith, golden delicious, raw",1,1980.0,1980.0
"Apple, with skin",pieces,"chicken, with skin","apple, granny smith, golden delicious, raw",1,1980.0,1980.0
"apple, raw, with skin",piece,"chicken, with skin","apple, granny smith, golden delicious, raw",2,990.0,1980.0
Whole wheat tortillas,pieces,"tortilla, wheat flour","wheat flour, white, tortilla mix, enriched",7,274.2857142857143,1920.0
"Olive oil, extra virgin",tbsp,"breakfast cereal with oats, fruit and oil, crüsli","oil, olive",108,17.59259259259259,1900.0
"Yellow bell pepper, raw",piece,white or yellow hard to semi-hard cheese,"sweet pepper, yellow/orange, raw",13,145.0,1885.0
Rice vinegar,dl,rice flour,"vinegar, 7 %",70,26.928571428571427,1885.0
"Lettuce leaves, Romaine",pieces,iceberg lettuce,romaine lettuce,1,1880.0,1880.0
"Potatoes, peeled and cut into 2cm cubes",medium,"stew, with meat, potatoes and vegetables","potatoes, autumn, raw",1,1800.0,1800.0
"Potatoes, peeled and halved",medium,"stew, with meat, potatoes and vegetables","potatoes, autumn, raw",1,1800.0,1800.0
"Potatoes, raw, peeled and cubed",medium,"stew, with meat, potatoes and vegetables","potatoes, autumn, raw",2,900.0,1800.0
egg roll wrappers,pieces,"egg, boiled","pasta, plain, uncooked",3,597.3333333333334,1792.0
"Green bell pepper, raw",piece,"beans, green, raw","sweet pepper, green, raw",12,145.0,1740.0
"Broth, vegetable, low sodium",dl,"cream substitute, vegetable fat","soup, swanson, vegetable broth",2,850.0,1700.0
Whole wheat slider buns,pieces,"tortilla, wheat flour","bread, roll, mexican, bollilo",5,336.0,1680.0
"Whole wheat tortilla, medium",pieces,"tortilla, wheat flour","wheat flour, white, tortilla mix, enriched",8,210.0,1680.0
"Spring onions, chopped",piece,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"spring onions, sliced",piece,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"spring onions, sliced",pc,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"Spring onions, chopped",pieces,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"Brown rice, uncooked",dl,brown sauce,"rice, brown, long-grain, uncooked",8,200.0,1600.0
"Green onions, sliced (about 30 g)",medium,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"Green onions, finely chopped",medium,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"spring onions, finely chopped",piece,"cabbage, spring green","scallion, spring onion, raw",1,1600.0,1600.0
"Dumpling wrappers, round, wheat",pieces,"tortilla, wheat flour","pasta, plain, uncooked",1,1600.0,1600.0
"Oat milk, unsweetened",dl,milk,oat and almond based beverage,5,310.0,1550.0
"Fresh cilantro, chopped",dl,fresh pasta,"coriander, raw",17,89.70588235294117,1525.0
"Tortilla wrap, wholemeal",pieces,"tortilla, wheat flour, wholemeal","wheat flour, white, tortilla mix, enriched",6,253.33333333333334,1520.0
"Almond drink, unsweetened",dl,almond sticks,"beverages, almond milk, chocolate, ready-to-drink",8,186.25,1490.0
"red bell pepper, diced",piece,"chili pepper, red","sweet pepper, red, raw",10,145.0,1450.0
"Green bell pepper, diced",piece,"chili pepper, red","sweet pepper, green, raw",10,145.0,1450.0
rice vinegar,dl,rice flour,"vinegar, 7 %",56,25.089285714285715,1405.0
