food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
Yoghurt drink,,,100.0,,11.0,5.0,,,,,
Cream,,,100.0,,11.0,5.0,,,,,
"Cream substitute, vegetable fat",,,100.0,,11.0,5.0,,,,,
Coffee creamer,,,100.0,,11.0,5.0,,,,,
Coffee creamer,portion,portion,,,,,10.0,,,,
"Whipped cream, canned",,,25.0,,2.5,,,,,,
Milk,,,100.0,,11.0,5.0,,,,,
Instant coffee creamer,,,55.0,,6.0,3.0,,,,,
Milkshake,,,100.0,,11.0,5.0,,,,,
"Sour cream, crème fraîche, quark",,,100.0,,18.0,7.0,,,,,
"Cultured milk, kefir milk",,,100.0,,11.0,5.0,,,,,
Yoghurt,,,100.0,,18.0,7.0,,,,,
Blue cheese,portion,portion,,,,,30.0,,,,
Brown cheese,slice (sliced with a cheese slicer),slice,,,,,8.0,,,,
Brown cheese,for a slice of bread,slice,,,,,16.0,,,,
Brown cheese,pre-sliced cheese,slice,,,,,12.0,,,,
Cottage cheese,decilitre,dl,,,,,100.0,,,,
Cottage cheese,tablespoon,tbsp,,,,,16.0,,,,
Feta cheese,decilitre (in cubes),dl,,,,,60.0,,,,
"Traditional Norwegian cheese, matured, Gammelost",for a slice of bread,slice,,,,,15.0,,,,
"Traditional Norwegian cheese, Gomme",decilitre,dl,,,,,115.0,,,,
"Traditional Norwegian cheese, Gomme",tablespoon,tbsp,,,,,20.0,,,,
"Soft-ripened cheese (brie, camembert etc)",slice (sliced with a knife),slice,,,,,13.0,,,,
White or yellow hard to semi-hard cheese,decilitre,dl,,,,,40.0,,,,
White or yellow hard to semi-hard cheese,slice (sliced with a cheese slicer),slice,,,,,10.0,,,,
White or yellow hard to semi-hard cheese,for a slice of bread,slice,,,,,20.0,,,,
White or yellow hard to semi-hard cheese,pre-sliced cheese,slice,,,,,13.0,,,,
Cream cheese,for a slice of bread,slice,,,,,15.0,,,,
Mozzarella,decilitre,dl,,,,,40.0,,,,
Mozzarella,one,piece,,,,,125.0,,,,
Parmesan,decilitre,dl,,,,,40.0,,,,
Parmesan,tablespoon,tbsp,,,,,6.0,,,,
"Sweet spread made of whey, Prim",for a slice of bread,slice,,,,,15.0,,,,
"Traditional Norwegian cheese, Pultost",for a slice of bread,slice,,,,,10.0,,,,
Cheese spread,for a slice of bread,slice,,,,,10.0,,,,
"Egg, boiled",,,,,,,,64.0,88.0,56.0,
"Egg, raw",decilitre,dl,,,,,100.0,63.0,88.0,55.0,
"Egg, pan-fried",,,,,,,,,,48.0,
Egg white,decilitre,dl,,,,,100.0,,,37.0,
Egg yolk,decilitre,dl,,,,,100.0,,,18.0,
Scrambled eggs,decilitre,dl,,,,,90.0,,,,
Scrambled eggs,portion,portion,,,,,50.0,,,,
Omelette,portion,portion,,,,,125.0,,,,
extra large eggs,,,,,,,,78.0,,,
large eggs,,,,,,,,68.0,,,
medium eggs,,,,,,,,58.0,,,
small eggs,,,,,,,,48.0,,,
"Duck meat, with skin",,,,,,,,,100.0,,375.0
"Duck meat, without skin",,,,,,,,,100.0,,395.0
"Goose meat, with skin",,,,,,,,,100.0,,365.0
"Goose meat, without skin",,,,,,,,,100.0,,485.0
"Chicken, hen meat",,,,,,,,,100.0,,215.0
Turkey meat,,,,,,,,,100.0,,195.0
