"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Drikkeyoghurt 
Yoghurt drink";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Fløte 
Cream";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Fløteerstatning, vegetabilsk fløte 
Cream substitute, vegetable fat";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Kaffemelk 
Coffee creamer";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Kaffemelk 
Coffee creamer";"Melk og meieriprodukter
Milk and dairy products";;;;;10ģ;" porsjon
portion";;;;;
"Krem/topping på boks 
Whipped cream, canned";"Melk og meieriprodukter
Milk and dairy products";25a;;2,5a;;;;;;;;
"Melk 
Milk";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Melkepulver 
Instant coffee creamer";"Melk og meieriprodukter
Milk and dairy products";55a;;6a;3a;;;;;;;
"Milkshake 
Milkshake";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Rømme, crème fraîche, kesam
Sour cream, crème fraîche, quark";"Melk og meieriprodukter
Milk and dairy products";100a;;18f;7f;;;;;;;
"Syrnet melk, kulturmelk, kefir 
Cultured milk, kefir milk";"Melk og meieriprodukter
Milk and dairy products";100e;;11e;5e;;;;;;;
"Yoghurt 
Yoghurt";"Melk og meieriprodukter
Milk and dairy products";100e;;18a;7a;;;;;;;
"Blåmuggost 
Blue cheese";"Ost
Cheese";;;;;30ģ;"porsjon 
portion";;;;;
"Brunost 
Brown cheese";"Ost
Cheese";;;;;8a;"skive (skåret med ostehøvel) 
slice (sliced with a cheese slicer)";;;;;
"Brunost 
Brown cheese";"Ost
Cheese";;;;;16ģ;"til en brødskive 
for a slice of bread";;;;;
"Brunost 
Brown cheese";"Ost
Cheese";;;;;12i;"ferdigskivet 
pre-sliced cheese";;;;;
"Cottage cheese 
Cottage cheese";"Ost
Cheese";;;;;100a;"desiliter 
decilitre";;;;;
"Cottage cheese 
Cottage cheese";"Ost
Cheese";;;;;16a;"spiseskje 
tablespoon";;;;;
"Fetaost 
Feta cheese";"Ost
Cheese";;;;;60a;"desiliter (terninger) 
decilitre (in cubes)";;;;;
"Gammelost 
Traditional Norwegian cheese, matured, Gammelost";"Ost
Cheese";;;;;15ģ;"til en brødskive 
for a slice of bread";;;;;
