# Synonym replacements applied IN ORDER before matching.
# Format: <source><TAB><target>.  Empty target = delete the source phrase.
# ORDER MATTERS (sequential replace). Provenance: MATCHER_CHANGES.txt.

red bell peppers	sweet pepper, red
green bell peppers	sweet pepper, green
yellow bell peppers	sweet pepper, yellow
orange bell peppers	sweet pepper, yellow
red bell pepper	sweet pepper, red
green bell pepper	sweet pepper, green
yellow bell pepper	sweet pepper, yellow
orange bell pepper	sweet pepper, yellow
bell pepper	sweet pepper
all-purpose flour	wheat flour
all purpose flour	wheat flour
plain flour	wheat flour
cacao	cocoa
feta cheese	cheese, feta
feta	feta
buttermilk	buttermilk, fluid
plain greek yogurt	yoghurt greek
plain greek yoghurt	yoghurt greek
yogurt, greek style	yoghurt greek
yoghurt, greek style	yoghurt greek
greek yogurt	yoghurt greek
greek yoghurt	yoghurt greek
yogurt	yoghurt
heavy whipping cream	cream, whipping
heavy cream	cream, whipping
cream, heavy	cream, whipping
half and half	cream, fluid
rolled oats, whole grain	oatmeal
whole grain rolled oats	oatmeal
rolled oats	oatmeal
oats, rolled	oatmeal
powdered sugar	sugar, white
icing sugar	sugar, white
dark brown sugar	sugar, brown
brown sugar, dark	sugar, brown
brown sugar	sugar, brown
lemon zest	lemon peel
vegetable broth	vegetable stock
chicken broth	chicken stock
zucchini	squash, zucchini
eggplant	aubergine
cilantro	coriander
scallion	spring onion
green onion	spring onion
arugula	rocket
sour cream	sour cream
ground beef	minced meat, beef
minced beef	minced meat, beef
ground pork	minced meat, pork
chickpeas	chick peas
garbanzo beans	chick peas
white chocolate chips	chocolate, white
white chocolate chip	chocolate, white
white chocolate	chocolate, white
dark chocolate chips	chocolate, dark
dark chocolate chip	chocolate, dark
chocolate chips	chocolate, dark
chocolate chip	chocolate, dark
dark chocolate	chocolate, dark
smooth peanut butter	peanut butter
medjool dates	dates
digestive biscuits	biscuit digestive
digestive biscuit	biscuit digestive
chicken breast	chicken fillet
asparagus, green	asparagus
ricotta cheese	cheese ricotta
oats-based	
oat-based	
wholegrain	wholemeal
granny smith	
hass	
cremini	
whole-milk	
whole milk	milk
potato, red	potato
potatoes, red	potatoes
red potato	potato
potato, white	potato
potatoes, white	potatoes
white potato	potato
tomato, red	tomato
low sodium	
low-sodium	
gelatine	gelatin
bread, brioche	brioche
brioche bread	brioche
cornstarch	corn starch
cornflour	corn starch
corn flour	corn starch
dijon mustard	mustard
whole grain mustard	mustard
whole-grain mustard	mustard
stone ground mustard	mustard
yellow onion	onion
red onion	onion
white onion	onion
brown onion	onion
broccoli, green	broccoli
broccoli green	broccoli
key lime juice	lemon juice
key lime	lemon
lime zest	lemon peel
rice vinegar, for dipping sauce	vinegar
rice vinegar (for dipping sauce)	vinegar
rice vinegar (for dipping)	vinegar
rice vinegar, unseasoned	vinegar
rice vinegar	vinegar
white wine vinegar	vinegar
red wine vinegar	vinegar
white vinegar	vinegar
sherry vinegar	vinegar
apple cider vinegar	vinegar, apple cider
unsalted butter	butter, unsalted
salted butter	butter
courgette	squash, zucchini
skim milk	milk, skimmed
skimmed milk	milk, skimmed
nonfat milk	milk, skimmed
non-fat milk	milk, skimmed
fat-free milk	milk, skimmed
golden caster sugar	sugar, white
caster sugar	sugar, white
